# Time-averaged data for fix rdf_OH_save
# TimeStep Number-of-rows
# Row c_rdf_OH_bond[1] c_rdf_OH_bond[2] c_rdf_OH_bond[3]
44000 100
85 1.69 4.36045 0.222129
86 1.71 2.60763 0.23198
87 1.73 2.30429 0.240891
88 1.75 3.8913 0.256287
89 1.77 2.49536 0.266386
90 1.79 1.97332 0.274554
91 1.81 1.88382 0.282525
92 1.83 2.41479 0.29297
93 1.85 2.13858 0.302426
94 1.87 1.5013 0.309208
95 1.89 1.26575 0.31505
96 1.91 1.36556 0.321485
97 1.93 1.71821 0.329752
98 1.95 1.60263 0.337624
99 1.97 1.75763 0.346436
100 1.99 1.1418 0.352277
44900 100
1 0.01 0 0
2 0.03 0 0
3 0.05 0 0
4 0.07 0 0
5 0.09 0 0
6 0.11 0 0
7 0.13 0 0
8 0.15 0 0
9 0.17 0 0
10 0.19 0 0
11 0.21 0 0
12 0.23 0 0
13 0.25 0 0
14 0.27 0 0
15 0.29 0 0
16 0.31 0 0
17 0.33 0 0
18 0.35 0 0
19 0.37 0 0
20 0.39 0 0
21 0.41 0 0
22 0.43 0 0
23 0.45 0 0
24 0.47 0 0
25 0.49 0 0
26 0.51 0 0
27 0.53 0 0
28 0.55 0 0
29 0.57 0 0
30 0.59 0 0
31 0.61 0 0
32 0.63 0 0
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0 0
40 0.79 0 0
41 0.81 0.23444 0.00019802
42 0.83 0.223357 0.00039604
43 0.85 2.55434 0.00277228
44 0.87 2.59098 0.00529703
45 0.89 1.65063 0.0069802
46 0.91 9.98149 0.0176238
47 0.93 4.75624 0.0229208
48 0.95 6.09245 0.03
49 0.97 6.94621 0.0384158
50 0.99 6.66889 0.0468317
51 1.01 4.25841 0.0524257
52 1.03 2.60917 0.0559901
53 1.05 1.88271 0.0586634
54 1.07 2.24963 0.0619802
55 1.09 1.74739 0.0646535
56 1.11 2.1225 0.0680198
57 1.13 2.13786 0.0715347
58 1.15 1.22092 0.0736139
59 1.17 0.673845 0.074802
60 1.19 1.00443 0.0766337
61 1.21 1.1551 0.0788119
62 1.23 0.86392 0.080495
63 1.25 1.54989 0.0836139
64 1.27 1.95454 0.0876733
65 1.29 0.7162 0.0892079
66 1.31 1.27736 0.0920297
67 1.33 1.45627 0.0953465
