# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
1 0.0695248 0.0233927
2 0.0553397 7.88819e-05
3 6.1269 230.398
4 6.25176 230.422
65400 4
1 0.0701736 0.0236111
2 0.0558559 7.96182e-05
3 6.10462 232.747
4 6.23065 232.77
65500 4
1 0.0708254 0.0238304
2 0.0563746 8.0358e-05
3 6.0898 229.401
4 6.217 229.425
65600 4
1 0.0714802 0.0240508
2 0.0568956 8.11011e-05
3 6.11711 234.978
4 6.24549 235.002
65700 4
1 0.072138 0.0242722
2 0.0574191 8.18477e-05
3 6.0973 238.833
4 6.22686 238.857
65800 4
1 0.0727989 0.0244947
2 0.057945 8.25977e-05
3 6.11871 235.876
4 6.24946 235.9
65900 4
1 0.0734627 0.0247181
2 0.0584732 8.33512e-05
3 6.1203 241.776
4 6.25223 241.801
66000 4
1 0.0741296 0.0249425
2 0.0590039 8.4108e-05
3 6.13064 247.389
4 6.26378 247.414
66100 4
1 0.0747994 0.025168
2 0.0595369 8.48683e-05
3 6.12774 245.254
4 6.26208 245.28
66200 4
1 0.0754723 0.0253945
2 0.0600724 8.5632e-05
3 6.1611 251.945
4 6.29664 251.971
66300 4
1 0.0761482 0.025622
2 0.0606102 8.63991e-05
3 6.16989 260.137
4 6.30665 260.162
66400 4
1 0.0768271 0.0258505
2 0.0611504 8.71697e-05
3 6.15928 259.954
4 6.29726 259.98
66500 4
1 0.0775091 0.02608
2 0.0616931 8.79436e-05
3 6.15605 268.953
4 6.29526 268.979
66600 4
1 0.078194 0.0263105
2 0.0622381 8.8721e-05
3 6.19277 283.863
4 6.33321 283.889
66700 4
1 0.078882 0.0265421
2 0.0627856 8.95018e-05
3 6.19889 292.73
4 6.34056 292.756
66800 4
1 0.0795729 0.0267747
2 0.0633354 9.0286e-05
3 6.18936 282.738
4 6.33226 282.765
66900 4
1 0.0802669 0.0270082
2 0.0638876 9.10737e-05
3 6.21176 271.035
4 6.35592 271.062
67000 4
1 0.0809639 0.0272428
2 0.0644423 9.18648e-05
3 6.22455 273.607
4 6.36995 273.635
67100 4
1 0.0816639 0.0274784
2 0.0649993 9.26592e-05
3 6.25253 265.814
4 6.39919 265.842
67200 4
1 0.082367 0.0277151
2 0.0655587 9.34571e-05
3 6.3124 259.008
4 6.46032 259.036
67300 4
1 0.083073 0.0279527
2 0.0661206 9.42585e-05
3 6.32157 267.044
4 6.47076 267.072
67400 4
1 0.0837821 0.0281913
2 0.0666848 9.50632e-05
3 6.32082 267.315
4 6.47129 267.344
67500 4
1 0.0844941 0.028431
2 0.0672514 9.58714e-05
3 6.34769 264.665
